Year,Month,Cases
2000,1,-2147483648
2000,2,-2147483648
2000,3,-2147483648
2000,4,-2147483648
2000,5,-2147483648
2000,6,-2147483648
2000,7,-2147483648
2000,8,-2147483648
2000,9,-2147483648
2000,10,-2147483648
2000,11,-2147483648
2000,12,-2147483648
2001,1,-2147483648
2001,2,-2147483648
2001,3,-2147483648
2001,4,-2147483648
2001,5,-2147483648
2001,6,-2147483648
2001,7,-2147483648
2001,8,-2147483648
2001,9,-2147483648
2001,10,-2147483648
2001,11,-2147483648
2001,12,-2147483648
2002,1,-2147483648
2002,2,-2147483648
2002,3,-2147483648
2002,4,-2147483648
2002,5,-2147483648
2002,6,-2147483648
2002,7,-2147483648
2002,8,-2147483648
2002,9,-2147483648
2002,10,-2147483648
2002,11,-2147483648
2002,12,-2147483648
2003,1,-2147483648
2003,2,-2147483648
2003,3,-2147483648
2003,4,-2147483648
2003,5,-2147483648
2003,6,-2147483648
2003,7,-2147483648
2003,8,-2147483648
2003,9,-2147483648
2003,10,-2147483648
2003,11,-2147483648
2003,12,-2147483648
2004,1,-2147483648
2004,2,-2147483648
2004,3,-2147483648
2004,4,-2147483648
2004,5,-2147483648
2004,6,-2147483648
2004,7,-2147483648
2004,8,-2147483648
2004,9,-2147483648
2004,10,-2147483648
2004,11,-2147483648
2004,12,-2147483648
2005,1,-2147483648
2005,2,-2147483648
2005,3,-2147483648
2005,4,-2147483648
2005,5,-2147483648
2005,6,-2147483648
2005,7,-2147483648
2005,8,-2147483648
2005,9,-2147483648
2005,10,-2147483648
2005,11,-2147483648
2005,12,-2147483648
2006,1,-2147483648
2006,2,-2147483648
2006,3,-2147483648
2006,4,-2147483648
2006,5,-2147483648
2006,6,-2147483648
2006,7,-2147483648
2006,8,-2147483648
2006,9,-2147483648
2006,10,-2147483648
2006,11,-2147483648
2006,12,-2147483648
2007,1,-2147483648
2007,2,-2147483648
2007,3,-2147483648
2007,4,-2147483648
2007,5,-2147483648
2007,6,-2147483648
2007,7,-2147483648
2007,8,-2147483648
2007,9,-2147483648
2007,10,-2147483648
2007,11,-2147483648
2007,12,-2147483648
2008,1,-2147483648
2008,2,-2147483648
2008,3,-2147483648
2008,4,-2147483648
2008,5,-2147483648
2008,6,-2147483648
2008,7,-2147483648
2008,8,-2147483648
2008,9,-2147483648
2008,10,-2147483648
2008,11,-2147483648
2008,12,-2147483648
2009,1,-2147483648
2009,2,-2147483648
2009,3,-2147483648
2009,4,-2147483648
2009,5,-2147483648
2009,6,-2147483648
2009,7,-2147483648
2009,8,-2147483648
2009,9,-2147483648
2009,10,-2147483648
2009,11,-2147483648
2009,12,-2147483648
2010,1,-2147483648
2010,2,-2147483648
2010,3,-2147483648
2010,4,-2147483648
2010,5,-2147483648
2010,6,-2147483648
2010,7,-2147483648
2010,8,-2147483648
2010,9,-2147483648
2010,10,-2147483648
2010,11,-2147483648
2010,12,-2147483648
2011,1,-2147483648
2011,2,-2147483648
2011,3,-2147483648
2011,4,-2147483648
2011,5,-2147483648
2011,6,-2147483648
2011,7,-2147483648
2011,8,-2147483648
2011,9,-2147483648
2011,10,-2147483648
2011,11,-2147483648
2011,12,-2147483648
2012,1,-2147483648
2012,2,-2147483648
2012,3,-2147483648
2012,4,-2147483648
2012,5,-2147483648
2012,6,-2147483648
2012,7,-2147483648
2012,8,-2147483648
2012,9,-2147483648
2012,10,-2147483648
2012,11,-2147483648
2012,12,-2147483648
2013,1,-2147483648
2013,2,-2147483648
2013,3,-2147483648
2013,4,-2147483648
2013,5,-2147483648
2013,6,-2147483648
2013,7,-2147483648
2013,8,-2147483648
2013,9,-2147483648
2013,10,-2147483648
2013,11,-2147483648
2013,12,-2147483648
2014,1,-2147483648
2014,2,-2147483648
2014,3,-2147483648
2014,4,-2147483648
2014,5,-2147483648
2014,6,-2147483648
2014,7,-2147483648
2014,8,-2147483648
2014,9,-2147483648
2014,10,-2147483648
2014,11,-2147483648
2014,12,-2147483648
2015,1,-2147483648
2015,2,-2147483648
2015,3,-2147483648
2015,4,-2147483648
2015,5,-2147483648
2015,6,-2147483648
2015,7,-2147483648
2015,8,-2147483648
2015,9,-2147483648
2015,10,-2147483648
2015,11,-2147483648
2015,12,-2147483648
2016,1,-2147483648
2016,2,-2147483648
2016,3,-2147483648
2016,4,-2147483648
2016,5,-2147483648
2016,6,-2147483648
2016,7,-2147483648
2016,8,-2147483648
2016,9,-2147483648
2016,10,-2147483648
2016,11,-2147483648
2016,12,-2147483648
2017,1,-2147483648
2017,2,-2147483648
2017,3,-2147483648
2017,4,-2147483648
2017,5,-2147483648
2017,6,-2147483648
2017,7,-2147483648
2017,8,-2147483648
2017,9,-2147483648
2017,10,-2147483648
2017,11,-2147483648
2017,12,-2147483648
2018,1,-2147483648
2018,2,-2147483648
2018,3,-2147483648
2018,4,-2147483648
2018,5,-2147483648
2018,6,-2147483648
2018,7,-2147483648
2018,8,-2147483648
2018,9,-2147483648
2018,10,-2147483648
2018,11,-2147483648
2018,12,-2147483648
2019,1,-2147483648
2019,2,-2147483648
2019,3,-2147483648
2019,4,-2147483648
2019,5,-2147483648
2019,6,-2147483648
2019,7,-2147483648
2019,8,-2147483648
2019,9,-2147483648
2019,10,-2147483648
2019,11,-2147483648
2019,12,-2147483648
